100 1350
21 47
28 33
50 43
33 43
27 58
24 46
40 55
28 31
44 36
24 57
20 39
23 31
36 31
37 58
49 45
30 53
28 51
37 56
50 51
43 51
20 37
45 53
34 31
24 44
32 60
27 44
32 50
37 46
24 52
46 33
24 35
44 30
32 42
41 55
37 38
29 45
22 55
48 52
49 55
32 57
50 53
40 49
37 45
23 34
44 40
24 47
46 50
42 56
41 40
37 45
23 33
43 31
40 52
38 31
21 51
23 50
42 33
50 37
47 45
45 33
43 57
50 51
40 53
48 42
29 32
35 47
22 42
35 42
43 39
20 56
50 49
45 31
47 47
41 30
43 60
27 36
27 32
34 37
39 59
50 53
30 49
28 44
33 41
26 51
25 57
26 36
20 42
39 33
20 39
32 58
42 59
50 42
22 58
33 58
23 34
21 31
32 40
36 51
40 38
26 56
