100 1350
40 39
25 53
30 54
21 57
39 31
22 56
27 33
46 35
22 40
46 50
46 55
47 34
35 37
40 59
48 57
38 55
38 44
36 37
34 32
34 40
26 51
46 52
38 34
38 37
36 58
26 52
40 36
21 47
25 36
50 47
21 44
28 46
33 38
41 59
23 60
31 42
21 36
37 38
32 44
35 45
20 55
22 39
41 34
31 31
42 36
41 45
25 59
48 36
36 50
38 55
23 49
26 41
39 43
48 45
22 40
30 41
23 47
29 33
20 39
20 54
35 48
20 34
23 55
39 46
26 51
23 55
44 41
29 47
38 58
44 35
27 54
43 34
32 56
24 35
24 56
38 60
43 37
24 50
29 49
40 57
40 54
50 30
28 44
28 53
42 51
30 38
39 58
32 43
32 56
46 31
40 33
47 50
44 50
37 55
30 44
35 44
37 55
47 51
41 40
30 52
