100 1350
41 50
43 51
39 51
26 41
28 32
38 51
32 46
29 35
43 40
40 47
44 30
24 41
37 33
47 46
47 51
36 55
37 32
26 42
38 57
47 50
33 33
25 32
31 50
37 60
24 38
44 60
38 60
31 31
24 33
29 42
26 48
22 46
32 37
45 39
27 35
25 37
27 36
44 36
22 33
36 46
20 46
44 58
40 40
35 52
24 37
22 55
49 31
38 35
34 50
44 42
27 60
39 30
44 31
29 51
43 54
20 54
23 56
22 37
21 52
20 46
27 44
31 41
34 46
31 49
38 45
37 41
45 53
29 60
43 41
29 46
21 54
29 31
20 45
42 42
45 34
46 42
35 46
36 47
27 59
44 30
34 55
24 35
47 31
24 44
39 49
34 49
29 41
30 47
44 42
35 55
37 31
20 59
31 33
28 47
21 37
22 46
37 55
28 58
24 37
45 57
